Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,AuxADC1,AuxADC2,AuxADC3
1358759280432,97.46666666666667,13.995,-3276.799999999997,27.35,0.12199999999999987,0.2299999999999999,129.81666666666666,65535.0,255.0,0.004809666666666665,0.00042833333333333357,92.88333333333334,65535.0,65535.0,1.0,90.5,-0.8780000000000003,-0.6731666666666666,-0.05766666666666668,0.12599999999999986,-0.48616666666666664,-0.26933333333333365,435.6,452.43333333333334,518.5333333333333
1358759340432,92.25,14.836666666666668,-3276.799999999997,14.15,0.10866666666666666,0.20749999999999996,90.46666666666667,65535.0,255.0,0.004907666666666667,0.0001579999999999999,100.0,65535.0,65535.0,1.0,150.5,-0.8840000000000006,-0.7419999999999999,-0.051833333333333335,0.08649999999999997,-0.24933333333333316,-0.10300000000000004,427.43333333333334,440.6666666666667,515.1333333333333
1358759400432,91.83333333333333,13.843333333333339,-3276.799999999997,-1.1666666666666667,0.11299999999999999,0.1991666666666667,88.6,65535.0,255.0,0.005037333333333333,0.00019566666666666677,100.0,25149.983333333334,65535.0,1.0,210.5,-1.0661666666666667,-0.906666666666667,-0.0485,0.15933333333333338,-0.06949999999999998,0.1328333333333333,424.81666666666666,436.28333333333336,513.15
1358759460432,98.53333333333333,18.54333333333333,-3276.799999999997,-11.166666666666666,0.050333333333333334,0.111,92.5,65535.0,255.0,0.00511766666666667,0.00020833333333333354,100.0,39.8,65535.0,1.0,270.5,-1.0291666666666672,-0.9376666666666671,-0.10483333333333332,0.03616666666666666,0.1288333333333334,0.23116666666666674,432.43333333333334,444.95,515.3833333333333
1358759520432,100.93333333333334,17.256666666666664,-3276.799999999997,35.666666666666664,0.17416666666666666,0.27583333333333326,104.28333333333333,65535.0,255.0,0.004829666666666668,0.00022300000000000005,100.0,38.266666666666666,65535.0,1.0,330.5,-0.7823333333333335,-0.5854999999999999,-0.06583333333333331,0.12483333333333332,-0.6403333333333332,-0.3970000000000002,429.2,441.4,514.05
1358759580432,100.13333333333334,8.100000000000003,-3276.799999999997,2.3666666666666667,0.18783333333333338,0.3186666666666666,121.76666666666667,65535.0,255.0,0.005028666666666665,0.000498,91.2,31.35,65535.0,1.0,390.5,-1.091666666666667,-0.7846666666666666,-0.04700000000000001,0.22983333333333336,-0.16083333333333333,0.1393333333333334,430.53333333333336,442.1,514.5333333333333
1358759640432,91.8,9.913333333333332,-3276.799999999997,32.36666666666667,0.06916666666666665,0.13516666666666663,129.66666666666666,65535.0,255.0,0.005173,0.00022300000000000005,99.83333333333333,30.0,65535.0,1.0,450.5,-0.879666666666667,-0.7321666666666669,-0.030000000000000002,0.08783333333333333,-0.5863333333333335,-0.433,431.1,442.5833333333333,514.5666666666667
1358759700432,109.05,10.738333333333342,-3276.799999999997,3.3666666666666667,0.1703333333333333,0.31416666666666676,178.38333333333333,65535.0,255.0,0.005139999999999996,0.00040366666666666687,96.93333333333334,30.0,65535.0,1.0,510.5,-1.0656666666666674,-0.7916666666666664,0.02016666666666668,0.27033333333333337,-0.1973333333333333,0.08383333333333336,431.03333333333336,443.3833333333333,514.4166666666666
1358759760432,104.7,13.40333333333334,-3276.799999999997,-24.133333333333333,0.20533333333333328,0.40299999999999997,156.8,65535.0,255.0,0.0050676666666666665,0.00048733333333333343,93.45,35.666666666666664,65535.0,1.0,570.5,-0.8885000000000004,-0.5283333333333333,-0.12533333333333332,0.1831666666666667,0.1283333333333333,0.5453333333333336,436.9166666666667,449.81666666666666,517.1333333333333
1358759820432,87.68333333333334,15.500000000000004,-3276.799999999997,-71.86666666666666,0.045166666666666584,0.09466666666666665,149.81666666666666,65535.0,255.0,0.005561,0.00020466666666666664,100.0,66.73333333333333,65535.0,1.0,630.5,-0.35533333333333317,-0.2513333333333334,-0.1648333333333332,-0.06333333333333346,0.9035,0.9801666666666665,433.01666666666665,445.06666666666666,514.2666666666667
